--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		Log file is created at : Sun Jun 15 20:58:58 2025
--------------------------------------------------------------------------------
 {'pid': 377, 'name': 'loginwindow', 'username': 'root', 'vms': 402489.78125} 
 {'pid': 97779, 'name': 'linkd', 'username': 'devashish', 'vms': 416975.875} 


 {'pid': 97900, 'name': 'coreautha', 'username': 'devashish', 'vms': 401384.578125} 


 {'pid': 97902, 'name': 'pkd', 'username': 'devashish', 'vms': 416953.203125} 


 {'pid': 97906, 'name': 'com.apple.geod', 'username': 'devashish', 'vms': 416953.296875} 


 {'pid': 97915, 'name': 'suggestd', 'username': 'devashish', 'vms': 417144.359375} 


 {'pid': 97944, 'name': 'ContextService', 'username': 'devashish', 'vms': 417049.40625} 


 {'pid': 97945, 'name': 'CoreServicesUIAgent', 'username': 'devashish', 'vms': 402042.765625} 


 {'pid': 97973, 'name': 'networkserviceproxy', 'username': 'devashish', 'vms': 416966.140625} 


 {'pid': 98139, 'name': 'keyboardservicesd', 'username': 'devashish', 'vms': 416948.15625} 


 {'pid': 98315, 'name': 'StatusKitAgent', 'username': 'devashish', 'vms': 416949.453125} 


 {'pid': 98493, 'name': 'bluetoothuserd', 'username': 'devashish', 'vms': 416945.375} 


 {'pid': 98545, 'name': 'generativeexperiencesd', 'username': 'devashish', 'vms': 416943.828125} 


 {'pid': 98613, 'name': 'donotdisturbd', 'username': 'devashish', 'vms': 416951.34375} 


 {'pid': 98644, 'name': 'mapssyncd', 'username': 'devashish', 'vms': 416949.328125} 


